sk_d_disciplina,cod_disciplina,nome_disciplina
ec212d0ef8beb9a1912114468fe05da57670860dd4a0a6a4b1b575586e8b0c74,MAB632,Tóp Esp Sist Inteligentes II
e5c72647a606eab5583974b2d5ec50255f6edcca7cffb8d5008e00b5c4bc5419,MAB640,Projeto de Teste de Software
bcdcc140d5ee639565bca4bbd7feb0917a8c5c3b663bdc16cfa5f458f619b415,NCG024,Internet das Coisas
c7a4b41ef992acbc77019754a735a1f89b04f025a943d99c0814b4bcfe40971d,MAB639,Computação Quântica
c2da84a2d2cedddfc48a33f2ba72135ba8771e1ce7c019ca850541d2da59301f,MAB636,Algoritmos Paralelos
527a23a659082eaa1be3caa0e6f0d75621b5ff16d0712caf5bc85d4348af3eb8,NCG003,Gestão de Equipes Projetos Ti
2056b75da6cdccf822f31df3dcbc241f38783a663470e05bb26fc986faffd7b1,MAB522,Anál Num de Eq Dif Parciais II
1570cd549b5ab8b3366304475277564730679f3e84b524537d73e19adf5eec1a,MAB610,Computação Algébrica II
72aa90a22a77ffcad266a8418a6ea70d745cba883b00fc8e97c7a1b4ec2fd037,MAD233,Calculo das Probabilidades I
9d122b85f7abf9888b66600fa7ffa8fb7327be0dfee5b8b6ede7adb6006f01c9,EEK200,Introducao a Eng de Mecanica
360da3e1b2f0d85ea1bad36583ebef352127744ad1491102014be6f070735b01,IQG111,Quimica EE
610e56d79ba0298c673b502947ec7b773865cc7dab922220a002a36efc14560b,EEG105,Sistemas Projetivos
e362bdd6510e24291858e2cf5737893146b315463d47309e59f50af17291f48f,IQG112,Quimica Experimental EE
b501752949604804597d39e44fa49868200330b2d235ae93bb65b6a6d0d4299c,FIM231,Física III
3a04156996d42b930ed55f57137bf2db8026c209726bedcc8da4a0072fd84025,FIT121,Física II
647aa476e835c3b814f43166faeb58a35e7d89073f8c555f5d09bb8361b549c0,MAB001,Tópicos Esp em Comp Gráfica II
d41e5c30d0d0a0829f21e21d6cffaf82b85659c8e73ec6386bbb95503ff2551e,MAB005,Ética em Computação
2f3f955e243d03fa01148bbf99f67bb4fb206958d3308ae95d2184440e5330a7,NCG020,Segurança da Informação
4240c1d9397c0ff9183796621bd821417f7970b0ead39a6edb9bf4cc0eddc470,MAB500,Robos Sist Auton Inteligentes
5e5db8a1b4718c685bfeb3037640797e069648535676ede9ba8a27d58f4b1c56,COS110,Algoritmos e Programação
0f05f499c89f575af82abff2b775f5008311fbe5009b00c9233c9372c688862d,COS111,Introd Eng Comput e Informação
e03ce5af7858a47b3d36dfb2d0d0e8bef320dd3703c5a52b44a62a84428282f3,EEL280,Circuitos Logicos
b4c482efdfb97a2d11a36dedb2523d290d654fa91f1eae1888dcfecc263c2519,EEL670,Linguagens de Programacao
7421508c56eed5c1a876057ceb3f463785966e27228978875dc1977287ddf957,EEL881,Teoria da Computacao
837a71589404e79906a6775e256de7c55e0bd2b8f98a00bf7b40ad2fd63f6ac7,EEL470,Algoritmos e Estrut.de Dados
1054636451b2d4e7e01246a01eac94ebd97fd2a1d968c74ddf568f13e25ffba9,EEL873,Engenharia de Software
516e4ee88741772d876cea88529c5035956117c7d54b79683ecd3a8354f12a4a,COS471,Computadores e Sociedade
719dab6fef8ad2c83185195e0c93e58b70a50efea6ebed6e134d6b9957b4d54d,EEL770,Sistemas Operacionais
d08ba8439836e2880a40dcacf5e8a2155cdd68eac37f53c87ef0d5ca71024709,COP232,Gestão de Conhecimento I
32ce9e1b2a0f9b833b17a9bcb5315e4c2b27e3d5a4c6c524721d81ce9eca88dd,COS351,Lógica Matemática
445d9e1a977f41aebc8928539167c91ca1bc799a30b073448a610d82ef126dba,EEL871,Banco de Dados
f8c0515926ebfae0770e0b3daf40c03fc3cadc49d447ba83c783d7fc5fe6f87a,EEL878,Redes de Computadores I
b2bd824424aec792f3ce6239c0179a4bb8c40d8f66b68cbf330e44ddae83514b,MAC248,Calculo Diferen e Integral IV
b858a49c1cdd0254b0b5b833890ee4e6307e36375029da314b3a63a98ff6126d,MAB006,Internet das Coisas I
1131c255c54b3c5ffd869c314226ec19ca20cdb1c1338aff406a56b945bd70bf,MAB518,Teoria de Grafos
db94031d76f8e4b2cdd1fef53a1b138a2a351f7210b837b32eaaa73010f47b71,ODWZ05,Ativ Curricular Extensão V
accdec69de182d26d07e5a20290dadde443846dde9d218683109563ba9573e6d,MAB617,Lab Sistemas de Informação II
20be0c4c1216e207af46614c5d2bc2df74176a23e0c34fa5928c0f7033a99a3c,MAB609,Tópicos Esp em Banco de Dados
a8cff0b3f3cdc6991275d971f5fef3fdfbbf8d6393afbfc3ba792dfbbfa01d2c,EEH210,Engenharia e Meio Ambiente
a625e49d9118f37e9426b946c96420d81dfbca4dbafdf26619f20f574e41898b,EEI200,Introducao a Eng de Producao
63f0c7d669f897d432e0067ceed004da5adfe12ace88fe33a028e9e1a2a34a1e,MAB114,Computação I Ep
9cad6f51256a8cd6f3cf88f4bcd9d7dba685960e436a0f2b0e5de9b4a8231877,EEI212,Metodologia de Pesquisa
21e7a81c2dec7069f73a8a6fce4dc592f090d4581c65428dd6ebc6aeb28949b6,MAB225,Computação II Ep
c7e5dc741d0c66b21ac3e0b5c84b94c14e8c3b85235f196b70f847a86cfaf799,EEA212,Mecanica I
3df75e5c8c084fad62742e959052630ef74ca7de88831c1a49fed666d4416674,EET310,Princ de Ciencia dos Materiais
5ded892f61602f6801d242dd9c82ade15fa4a3d0fd6d3e702bb4cb98c1c58991,EEI206,Historia da Tecnologia
7c6bd71648a01a42f711b9363e9afc026e9adbb36fea9093633db8fbf66b438b,EEI533,Introducao a Economia
beb1ca3c7dab442be1b0365fa3b8fbaa39532209022a9aa1a6addfc9187c8e8f,MAD201,Probabilidade e Estatistica
a88dc7f220bac1920858e61fd291ace18f33e4ec84a5cb133b1f3b46525132c5,EEE390,Fundamentos de Eletricidade
1d3b6b446d06daba09a04066ffeb9eb94949c8d04ab10daf0bb8139a08acbd44,EEI325,Engenharia de Metodos
a4d5848684981a0e9e50466fdeecf550828a66de1f39c551a302fa53029b8aff,EEI541,Estatistica Aplicada I
d7ef0244d963c9a77f413663c970017347893fbb462d09f10ba4d85baad07421,EEI642,Estatistica Aplicada II
feddc963d728bbf80f3ff222c7aee62d0d75bde54709bc3bcff26d5c57746295,NCG002,Introdução à Programação I
020926b85a719c2b4f688a954df89ba48e961de3a47db173863cf91d030fcdb9,FIW492,Tópicos de Física Geral II
c914842d64e7e27559b9671d5dd18a113571c0afbd2bf30a414e55d1b2079a8e,IGT110,Introd Ciências Atmosféricas
b8d1bbd26422ae266b3f0feed18014b797c29ec8ca97f76dc898c2611a35a297,IGT114,Observação Atmosférica
6ce1304011c82009f8c14fef129408a269b2766a705db81666a39eec97242f29,BMH121,Histologia I B
cab2b35202d6e4d8db29f7126e06bdf64ea3d44e4cb6b757303bd360aee73d21,BMH120,Embriologia Geral I B
3fca60a9cd534b86921f059d7d0c985c3893ce7314dc142a7a4ebb6118d56b74,IBE121,Elementos de Ecologia
f41106aa50b48fdbdbb9fd45ca773be2ab0d5507b54616554914ab7a22cc292e,IBG231,Biologia Geral (Citologia)
8ca295f6ffb1b72a5a633a7ee6bf4ea489388082c3818a7189a9270bf0b021b5,FIN112,Fisica P/a Ciencias Biologicas
5b0e75be463871ec154b137fabf2ed23d996be3a78e8d839a113e1f1a36dc4e2,IBM351,Biologia Marinha Basica
4bb1cdcfa4f081cca038011958d0f0a3cb1da7e9cba53ccc91326a7a2c834472,IQG116,Complementos de Quimica I
b113b40e6eeb57905d7d78b4e35fa1478d8d38465fc69d420a88f4448261a597,MAWX01,Monitoria I
da375189b151dbe3b79310873379c98af6acdfc62fe42cecfbdf0ebb904f5740,LEG151,Alemao I
def4682d25ac08dff9e665120fd38abc76b1eef99aece13cdefac98ca732d330,MAE231,Calculo Infinitesimal III
e61b63b308a67225aa74afdd710dec0934132ddb89d060a4b4cf573605cc2b99,MAB488,Métodos Numéricos II
7d6d6e424507244a3babe5240270d9b1867bf4ee21afe443ee48f9be9bccbe35,IHI001,Hist Eco Soc e Pol do Bras I
be3d90b8850961c71451169023dc73a94b03cf080ae575ec2b2d9d4d20b8b47e,FCA218,Antropologia Cultural
e4c267ae70315553a5e477c3041e90590dcc670aecbf79015893e8e01842fd01,FCB113,Introdução à Sociologia
9e899777634bfa15e5c49dce86212892e27e223a8e64716615fb2a639444f300,FCB117,Metodologia das Cienc Sociais
9e1efac1de6ede9af3708365e867830769c6b238628cd0d60f7ec3370cd52b92,FCF110,Filosofia I
d93cee5ae00d90a4594629387362bca3c012a247e0dce9c69c4fd47a69e826cc,FCP104,Introdução à Ciência Política
985a8aba21824dd1e14710d8c40cd13e46662639128f9e4709c0ace2b5c78a9c,IPG111,Psicologia I CB
02b458ee8021968ec2b62c264ce470d3c4f425dd7d77a713c0dc3e23921786c3,FCF111,Filosofia II
9e00898587eaafc28ae5d41de1201c28f5f59d903e162fc2b86e0d94d25ca8ec,FCP107,Ciencia Politica I
7eb637cabb10a15849a2efec7bbeeefa0e7585823054f8ffbe8b70d189042389,IHI003,Hist Eco Soc e Politica Geral
168bb7e988c0bb953ae247e0a09faf69d456f46233a2e097c4fcb257bfdf8b0d,FCA106,Antropologia I
d2eaeb3120fa7cbcba694f8e17f50a20c22b6925372379678d1461086ee03424,OVL111,Introdução à Astronomia
5ed6ff8fa42d4caa30935c344f3e74b5b515962dd91c40959ce8fe4444bd9883,MAD124,Introdução a Estatística
28782d0e3d75ad37812955ee53f066be286d3d864e8299904e3a10fbe6476b7b,OVL121,Astronomia Esférica
8eefe7c1ff30154a3ca1081031d9218e85209896c3f48996ef17315153698200,OVL231,Laboratório de Astronomia
b42fd3249ec07a2d56fececb47c42e6763fea506591db1659b166c557a3ae1c0,OVL232,Métodos Comput da Astronomia
ca41cfcacaa2af0dc40ee5167571422c7b4738b783d14c4838d2280ef80a8930,EEL857,Otimizacao em Grafos
847eb771febac5c40ac99e0d75578f107e7c0e390ccc11c84c9b0810d2d73eb3,MAB531,Tóp Esp em Teoria de Grafos
c9b9f7457194f952a0ac179d1740ec094f53694015c00f2ff82fe3018bc934ab,MAD352,Calculo das Probabilidades II
b9240dc1a2fa212175f9bd36edf34e6c2d522bdd3ad7572b1212ab2402cbdc10,MAB002,Tóp Esp em Program Paralela
e7452e9a44e93798414685949be14b750829008dad0f9b8ffe2f297ea59ff3a1,FAR116,Geometria Descritiva I
791408824ffb43842750d9bc8a138b4999203d8a8bb71b418e963dcc99583217,MAW365,Fund de Aritmética e Álgebra
61c36e84c9451bf6ec029565fbd99821764c409af20a8b8d0a2709ac0ef317d5,MAE363,Top de Matematica Aplicada B
4f71c5e64310e5a1abf54006c4fb61261cc44b19e75f83eb4c10d894c943bb8e,MAE353,Top de Matematica Aplicada A
cecef3c5f85771bcf50b755588ac09ed7026213d236a23d0c874286fc97c0a04,MAB635,Lab de Sistemas Digitais
bf0ff369c0d225fed266ef3bc2fab16ab41b50d346386e2af89913dcc50a7e26,FCF231,Historia da Filos Antiga I
d9a87467c6987be751876996118256d7aae14d0b8bba835b1f59f8fbf7086ae3,MAC116,Matemática I
96610535cbc20edb8ad3553ffa62c22f8f3efb26992e393db57ff41ff5474696,ECA230,Comunicação e Marketing
a82f71ab2737e33aeeb489748aaefe3e1490e62b51b9394ce3c9e7a0262e988b,ECA244,Comunicação e Economia
bbed8bfa65e70ab70b33bb71163708f72d163c1053637fc5cf13fdea34f459cc,ECS122,"Comunicação, Psicol e Cognição"
2d0aa51e863cadb37ef04cb168bc3ee2e5ad02bf852ebdf0cc2e8fd40a17b1bf,ECL251,Redação Jornalística I
bc3a7cee1593b976ca793cb25dbf3d170cd6abb9cbb4e61c002db522904943c9,ECL384,Radiojornalismo I
4c5c6717b5c8573026e33d5c90ec50c784a6ce0af00c2a471ce02fcec2bed8bc,ECL390,Telejornalismo I
186266ecce66e538ddd95595916bd9b8ff4352884f53f7209ebdd50a1b9d7915,ECL500,Radiojornalismo II
65611c8be770408952302930dfc91e94317bb12280b2184701051422229f93ec,ECA374,Legisl e Ética em Comunicação
c29b63773e91c1b9b6055da2738cd5b2ae6e021e0773f154bca673f59f70367f,ECL021,Jornalismo Especializado L
c4e184ba261c0d2acce44d98ad51573503b6f3238255849d4cccb03bbac90e41,ECL112,Linguagem Gráfica
d709678e3e82e09eaebf68ace8ca16ae9d510d1f0e607c9224ded29d8dc1ecc6,ECS112,Comunicação e Filosofia
09c0930478d749250aa568b59704527332c8473470945d495e8d8a8bc94472e6,ECS113,Comunicação e Artes
33e89848351cff1623e9be67861c9305113edd25eb0df452649cff64f884795c,ECS123,Teoria da Comunicação I
d018b8cb6ad0bf7d4adebc7028c9abdab5c5d1b4a3183564b322f2fd734fb6b2,ECS240,Historia da Comunicação
27f608a2c71348fe30d474d7fc1e85832a80b6f8c89f42cc0a10ad1484a7f06c,ECA123,Sistemas e Técn de Comunicação
3f45bb0feca43e0ad0573e846b7c6d54bfd62ea308dbc8e9dad05113522d1da7,ECAU01,Laboratório de Comunicação A.
ea08c841343b023f12c5bab5ac4e12f1a347b483963fdc0195856f58ccee39e9,ECAU02,Laboratório de Comunicação B
d6c397b8e99929810a53d11dd876ffb61c01dd9f9d3752caec8817a8feff779f,ECL122,Linguagem Audiovisual I
c2f13121aaf985057a0eee9d28a3daf979f1f0392e0b602c8b8390e768b1409c,ECS009,Seminário em Comunicação J
07ec1893a59fa5a1d6fc5cef1ab425f7b9d8e5d9b8e73c604eee95619bfde110,ECS236,Teoria da Comunicação II
c5dd648b92b334dbe9bed3bc5b609de2974311eaa6fa658a3830754c1ec0a1d5,ECA112,Comunicação e Realidade Brasil
bff1430ad9d7f2eb1d5f0edc58ffaf6480f243e6f3d05e08f5b968e0c072771c,ECL234,Linguagem Audiovisual II
96dc5db5d8e12c0582a194578622e0d24aec39825b78c0b6a5745f00cdd4eeae,ECL235,Fotografia
83d0eb27e3eaa49d8259b72911ae56cc6a781c513c6951e78fd5259991c47665,ECL382,Redação Jornalística II
d45a733f671c3942bbede7ca3461b30df64254cad33527e0d9c02f01ed3e27f8,ECS237,Antropologia e Comunicação
80bae906e03404c00ad4a5a7bec92ab2657337e22ab0168acee1be807d593b02,ECS238,Teoria da Comunicação III
c7fe010dbb90b30b185fce75a94bed3dfa7ae4d46c9ce9f14d9ad1eb98ee78e2,LEV120,Língua Portuguesa II
3bce8ac6b501b3d5f8ba7a41559085a96fdeaab74608c2e0370d8f0b34b6ca0e,NCG012,Mineração de Dados
f48d46d4c655f23d2efec585db51e7ae78975f6df378d1796048c4002a077418,FCP119,Introdução às Ciências Sociais
fce58d65869c1dbb4364cd0ae1fce00d2dba8d64ab07465fedf9031b1346464e,FCP121,Ciência Política
fe32d6a572b96dcb1b0dc3ba3fc5a806274d03d9cbb7f0e24a050d3a1a109e3b,ACA115,Fundamentos da Administração
336db939d61b2ec0e17ad05fcbb9262ac13f8f49f114ab04f7137726a2186a1e,ACA122,Teoria das Organizações
1da14a81532ce3f6869fc35b358174ee897ee3a1db7944bfb3dde9a7defc1eaf,ACA226,Matemática Financeira
e14dd2c097f7a48ac68acea2e1de4c1ba00b8b341a3afbe189e9024ba94c11d9,ACA227,Modelos Probabilísticos em Adm
3a94c37b22d3e8cdb41a68990819faa09f89e4646c78b47ebca8adbf0455f94b,MAC106,Algebra Linear I
fb9e81c77c1b7252e6dd57b9f3880143c4d035a43392b2d104f4fc59f7ac4246,MAD114,Analise Exploratoria de Dados
5677115defb9959abe28b521e3ebac3a37e95519fd7acf5b5f0768f854d5f418,LEO100,Língua Russa I
6132ed48ca664030460cbe75bfe27f3cd4eec1da7fc8075049fdce6331908b2a,EET200,Int a Eng Metalurg e de Mater
259dfc5cf014bab587a5b0063bee01e36f63e63d74c60eb8810a6cd244ceb57f,EEE200,Introducao a Eng Eletrica
9258d00c1d946fd560803ff35de15d23580424fc9302ae2fd0dd90a6d11ef364,EEE466,Circuitos Logicos
393c40cd721da2fdbb0ebb6700800a4b7650ca31f46de385a54aa066e5779e52,EEE642,História da Eletricidade
91741cb4b7d364023811f49f6f1c9cd7f66d4fa40cd2b30104fc82f2caad98a9,EEE321,Circuitos Eletricos em CC
90f90176adc55b484a4cfe497bdec172abba5d1e5333bccc993d09e0da5bd2c6,EEE467,Lab Circuitos Lógicos
008cc492649d0f8b61bb076704676288499b400064ffbf36dd1bbb8a047e2c2f,EEH214,Fenômenos de Transferência
0e402036535135c775cb46062b7abd68b4a5873212f81669c6718b97a38b6242,EEWY21,Monitoria I
a8068dfcd9d6e2cb7160e505469c933e7d545e4a86071f7504518a559c07a3b0,FIN241,Física Experimental IV
ad4a650fc84885921e920f2c1140309ab69bd75dd4669a4db331d0553c37352f,EEA338,Resistencia dos Materiais
1226d5074f6d79b1e9f0eb6f9a722e5ed585229bed461b439e51ca17c773c0b7,EEE322,Lab Circuitos Elétricos I
18d2c39a5759fd95ea1a723a1b7d014b2f4714aa1dfca2ae99842704356caf84,EEE327,Eletromagnetismo I
a31d7c6761e875c2211cda4746fe9d22e887af74969f74ac6371e61e0cd757bb,EEE339,Sistemas de Controle I
95d7295fb6f096f113d24d7bf977b15f777a13e3839feffb596beefb5c75ec11,EEI312,Economia A
a27cf28d0c4094aefbb72af4e7681da98231cdf2d5d51c5160dbbf1be865962e,EET308,Ciencia dos Mat Eletricos
d7df54a2b5eb5cd97d71aaae30e03148d59f353ea932cb93102f42501a252ebc,MAWZ01,Ativ Curricular Extensão I
fdd75270fe83b69e1a64f458866e62d4a734abbec4c2d89832d42e14a41be334,IQG114,Quimica Geral I
418761ee135e0726678fe9a479091ab1a5f022eb4bb10bce0c90a2754e91f7e1,COP364,Empreendedorismo I
c6277b9e4ff562efc01a9f1e0a4b6dd571f00b996b07e601d57af69b7e84092d,EEWY02,Equipe de Competição II
445372ae236e89df5d1538cba6da249de4bb28ad5e809060ac32d5a1537ee653,IHI130,Top Esp em Hist da America III
013325f4a15d893945d0f5b8544725c831d744add0dbd09a489047f2359d4bb2,IHI221,Historia Medieval II
76c56660846568fd63bb0592a1b683a40c8e927ac00971798bf1fbb8ca0acce7,IHI223,Historia da America II
0ec9db3419d9eb81a3cdcc8dc8ac9d833c7393b610ad41d00d71329c675e827a,BAWX02,Atividades Complementares
f889ddcebcd533371319c409a3e4ab992aae68d6d54300c61078cd61b894b686,EEL850,Software Livre Metod Particip
4332b20da4ea702c51095bb958283776b34e730ca03cd936331fa5724ce6313c,BAH237,Arte Africana Afro-brasileira
226dd5a1d932d4f2beb7490f947fbcf5d5819076b3974d7023a9288fa99693e4,EEWX02,Proj de Extensão em Engenharia
2d80af3b9d44fd1c35b87c774988047a365cc3981680204d246454670dc15cdb,MAC117,Geometria I
b43f99255829d9bb403364dac5fca7ad41ef72471e96f78052b9657a8c983780,IQW999,Apoio Pedagógico em Química
db3eec900d20940d02520fc94de135ee7a952257e666d955eff0e22306a2a798,IEEZ60,Introdução à Extensão
8b2c8d5b77839b815ee4c10f10b4b0e719005ccfd05dc47b858cc514306995de,NCG010,Conectando Redes
cb7391b36d45b818fbe35ee2a459be72e491e8d35fe2c82b40491be27510d3c4,MAE121,Calculo Infinitesimal II
15965dd1ad9520496d1c5388040eed5535e77f8e03beadad306f7b3202130aa3,MAE241,Calculo Infinitesimal IV
1e7c761dd55b1800af62f2b7cdbac480d2d78b9a47163eeaacf6434bd1f2d50c,EFA109,Introd Estudo Corporeidade Ef
4c85fe2ffb527fe500f1e7e8062b8c8eee748b69cdf8f840b7140e16abea8ee5,IEE113,Teoria Economica I
ce60a774dfde5f979ec82aa23095f7d899dadfa9701b23aa41f562da234e7f13,CMT001,Est Dirigido Ciênc Mat Nat I
2c419bcaf6e8894d180b51997173355ff44258cbb2e76033007f70c288b7c497,EFC110,Prática da Natação
6110dabd628a2875b1744d8dd5de1277cdd2f4f6ddf34e58502301707cad2dad,BAV361,Tecn e Producao da Imagem A.
